,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,light_gradient,Knn_catboost,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
0,0,0,0.0,0.329545455,0.0,0,0,0.329545455,0.0,0,0,0.329545455,0.0,0,0,0.329545455,0.290697674,0.290697674,0.0,0.290697674,0.0,0.0,0.2603550295857988,0.2181818181818182,0.2181818181818182,0.0,0.1273885350318471
1,0,0,0.0,0.329545455,0.329545455,0,0,0.633027523,0.329545455,0,0,0.633027523,0.329545455,0,0,0.633027523,0.290697674,0.290697674,0.0,0.46875,0.0,0.460732984,0.6576576576576576,0.3666666666666666,0.3756906077348066,0.0,0.3575418994413407
2,0,0,0.0,0.329545455,0.329545455,0,0,0.721030043,0.329545455,0,0,0.721030043,0.329545455,0,0,0.721030043,0.375690608,0.375690608,0.0,0.46875,0.0,0.482051282,0.728813559322034,0.32,0.3389830508474576,0.0,0.65158371040724
3,0,0,0.0,0.329545455,0.310344828,0,0,0.731914894,0.310344828,0,0,0.731914894,0.310344828,0,0,0.731914894,0.537313433,0.369565217,0.0,0.537313433,0.0,0.436170213,0.7319148936170213,0.3756906077348066,0.3934426229508196,0.0,0.7319148936170213
4,0,0,0.0,0.329545455,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894,0.537313433,0.369565217,0.0,0.526829268,0.0,0.587677725,0.7319148936170213,0.4108108108108108,0.4193548387096774,0.0,0.7319148936170213
5,0,0,0.0,0.329545455,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894,0.367567568,0,0,0.731914894,0.529411765,0.529411765,0.0,0.556603774,0.0,0.715517241,0.7319148936170213,0.427807486631016,0.4607329842931937,0.0,0.728813559322034
6,0,0,0.0,0.329545455,0.451282051,0,0,0.731914894,0.451282051,0,0,0.731914894,0.451282051,0,0,0.731914894,0.559241706,0.529411765,0.0,0.663755459,0.026845638,0.712446352,0.7319148936170213,0.5797101449275363,0.5933014354066986,0.1684981684981684,0.7319148936170213
7,0,0,0.0,0.329545455,0.504950495,0,0,0.731914894,0.504950495,0,0,0.731914894,0.504950495,0,0,0.731914894,0.666666667,0.642533937,0.0,0.666666667,0.185185185,0.721030043,0.7319148936170213,0.5933014354066986,0.5971563981042654,0.1684981684981684,0.7572016460905351
8,0,0,0.0,0.290697674,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.427807487,0.722689076,0.7319148936170213,0.5933014354066986,0.5971563981042654,0.1684981684981684,0.7572016460905351
9,0,0,0.0,0.329545455,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894,0.575471698,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.53,0.731914894,0.7319148936170213,0.6203703703703703,0.6784140969162995,0.1684981684981684,0.7572016460905351
10,0,0,0.0,0.329545455,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.558823529,0.731914894,0.728813559322034,0.6267281105990784,0.6842105263157895,0.1684981684981684,0.7572016460905351
11,0,0,0.0,0.338983051,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.613953488,0.731914894,0.7319148936170213,0.6267281105990784,0.728813559322034,0.1684981684981684,0.7572016460905351
12,0,0,0.0,0.329545455,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.613953488,0.731914894,0.7319148936170213,0.6814159292035398,0.7012987012987012,0.1684981684981684,0.7520661157024794
13,0,0,0.0,0.310344828,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894,0.518518519,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.626728111,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.1684981684981684,0.7520661157024794
14,0,0,0.0,0.329545455,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.626728111,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.1684981684981684,0.75
15,0,0,0.0,0.329545455,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.626728111,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.1684981684981684,0.7583333333333334
16,0,0,0.0,0.338983051,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.626728111,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.0,0.7634854771784232
17,0,0,0.0,0.300578035,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.185185185,0.666666667,0.633027523,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.0,0.7634854771784232
18,0,0,0.0,0.338983051,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.698689956,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.0,0.7634854771784232
19,0,0,0.0,0.70995671,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.0,0.7634854771784232
20,0,0,0.0,0.70995671,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.588785047,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.0,0.7634854771784232
21,0,0,0.0,0.70995671,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.6784140969162995,0.75,0.0,0.7634854771784232
22,0,0,0.0,0.70995671,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894,0.657777778,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7012987012987012,0.75,0.0,0.7634854771784232
23,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7012987012987012,0.75,0.4742268041237114,0.7634854771784232
24,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7012987012987012,0.75,0.5560975609756098,0.7634854771784232
25,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7012987012987012,0.75,0.5904761904761904,0.7634854771784232
26,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5904761904761904,0.7634854771784232
27,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5904761904761904,0.7634854771784232
28,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5904761904761904,0.7634854771784232
29,0,0,0.0,0.704347826,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5904761904761904,0.7634854771784232
30,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5971563981042654,0.7634854771784232
31,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5971563981042654,0.7634854771784232
32,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5971563981042654,0.7634854771784232
33,0,0,0.0,0.704347826,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.5971563981042654,0.7634854771784232
34,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6175115207373272,0.7634854771784232
35,0,0,0.0,0.68722467,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
36,0,0,0.0,0.698689956,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
37,0,0,0.0,0.657657658,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
38,0,0,0.0,0.645454545,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7531380753138075
39,0,0,0.0,0.669642857,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7583333333333334
40,0,0,0.0,0.669642857,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7531380753138075
41,0,0,0.0,0.681415929,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7531380753138075
42,0,0,0.0,0.66367713,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7531380753138075
43,0,0,0.0,0.645454545,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
44,0,0,0.0,0.692982456,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
45,0,0,0.0,0.657657658,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
46,0,0,0.0,0.692982456,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
47,0,0,0.0,0.657657658,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
48,0,0,0.0,0.657657658,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
49,0,0,0.0,0.645454545,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
50,0,0,0.0,0.639269406,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
51,0,0,0.0,0.645454545,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
52,0,0,0.0,0.65158371,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
53,0,0,0.0,0.68722467,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
54,0,0,0.0,0.715517241,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
55,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
56,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
57,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
58,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
59,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
60,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
61,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
62,0,0,0.0,0.715517241,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
63,0,0,0.0,0.70995671,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
64,0,0,0.0,0.704347826,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.660714286,0,0,0.731914894,0.666666667,0.666666667,0.0,0.666666667,0.731914894,0.731914894,0.7319148936170213,0.7447698744769874,0.75,0.6363636363636364,0.7634854771784232
