,Kappa_100,F1_100,Kappa_50,F1_50,Kappa_200,F1_200,Kappa_500,F1_500
0,0.786853423,0.841095199,0.682748849,0.756390514,0.960971284,0.972314222,0.96246786,0.973376206
1,0.785579507,0.840106836,0.685893422,0.759126329,0.960607549,0.972032478,0.960805232,0.972181081
2,0.850369555,0.89108302,0.694047973,0.766291108,0.962241337,0.973192422,0.958676279,0.970740764
3,0.840782621,0.885933436,0.757495303,0.81815524,0.958156867,0.970292563,0.959090057,0.97103722
4,0.860177753,0.899266177,0.774806946,0.832289642,0.968733457,0.977849014,0.955403268,0.96843721
5,0.857786523,0.897552191,0.769802484,0.828978452,0.970117737,0.978820358,0.957511868,0.969921925
6,0.86382333,0.901811376,0.775193519,0.833095068,0.969977982,0.978719307,0.956599769,0.969272134
7,0.865345095,0.902804302,0.775854287,0.834031972,0.969694962,0.978512928,0.955414938,0.968382495
8,0.865024972,0.90250042,0.774175956,0.832705029,0.983317725,0.988188598,0.963845318,0.974339161
9,0.865365678,0.902679262,0.778890846,0.836429382,0.984619328,0.989105358,0.975481399,0.982632658
10,0.864991178,0.902432469,0.781555175,0.838529318,0.984480429,0.989005353,0.979722159,0.985653577
11,0.830049564,0.875579866,0.781763914,0.838693698,0.985256503,0.989558645,0.982927723,0.987921007
12,0.830469499,0.875857291,0.781607363,0.838570418,0.984802547,0.989236289,0.976986444,0.983750437
13,0.848252638,0.889824752,0.780074928,0.837632777,0.984074102,0.988717949,0.976940122,0.983717084
14,0.825802972,0.872689655,0.791396123,0.846648494,0.985164945,0.989493241,0.980018459,0.985875976
15,0.862339639,0.900414239,0.78981231,0.845611832,0.98547748,0.989712528,0.982572902,0.987673245
16,0.866029396,0.903191132,0.790018729,0.845772879,0.986614266,0.99052072,0.975642599,0.9828052
17,0.83371941,0.87889155,0.786740705,0.842090305,0.985978017,0.990068559,0.975058691,0.982393695
18,0.841513153,0.884852196,0.786609449,0.842000568,0.985476938,0.989711868,0.973542745,0.981330963
19,0.882472654,0.915613211,0.786246736,0.84199724,0.987932688,0.991457913,0.982029787,0.987288406
20,0.882752904,0.915791914,0.786428332,0.842153672,0.988114359,0.991586961,0.98045714,0.986179822
21,0.881463929,0.914818131,0.790193312,0.845177665,0.988250594,0.991683726,0.985618307,0.989814874
22,0.88364939,0.9162,0.790835599,0.845940538,0.989200591,0.992356647,0.9856638,0.989847228
23,0.849204193,0.889950509,0.789615221,0.845024928,0.989472884,0.99254996,0.985077273,0.989432561
24,0.885024645,0.917183437,0.78733932,0.843575028,0.986200677,0.990247323,0.982121598,0.987331217
25,0.852591581,0.892552353,0.785507132,0.842377261,0.989747792,0.992746445,0.985485069,0.989721751
26,0.848272693,0.889721154,0.787182073,0.844048156,0.989793146,0.99277863,0.988030671,0.991531111
27,0.860914891,0.899519925,0.783705482,0.84173035,0.989569858,0.99262193,0.988710495,0.99201329
28,0.852404945,0.892885013,0.78740451,0.843824145,0.989343105,0.992461027,0.990294101,0.993135158
29,0.889825994,0.920930848,0.783157523,0.841259952,0.9894279,0.992518225,0.990699181,0.993421053
30,0.866117732,0.903201937,0.777789952,0.837689844,0.989791243,0.992776322,0.989475239,0.992552817
31,0.893488992,0.923669906,0.767836134,0.831151118,0.98960862,0.992646118,0.990564612,0.993326308
32,0.871553859,0.907554077,0.718935235,0.799175635,0.989788197,0.992772626,0.988249717,0.991682662
33,0.889821948,0.921120095,0.694873593,0.783799384,0.984789485,0.989220404,0.990113526,0.99300744
34,0.877471425,0.911886811,0.695281187,0.784111311,0.988927825,0.992162759,0.987750076,0.991327722
35,0.897048523,0.926447984,0.698435914,0.786523325,0.990151146,0.993030245,0.984114303,0.988743867
36,0.89484215,0.925198252,0.695281187,0.784111311,0.990105784,0.99299805,0.984295923,0.988872856
37,0.900882076,0.929511856,0.698740823,0.786756238,0.988744535,0.992031745,0.984255078,0.988846154
38,0.904030227,0.931918315,0.695281187,0.784111311,0.989971929,0.992904174,0.983836714,0.988544107
39,0.907394993,0.934471295,0.698486737,0.78656215,0.989790863,0.99277586,0.983655002,0.988415006
40,0.922201027,0.944851053,0.695281187,0.784111311,0.990197238,0.993063325,0.991197631,0.993774543
41,0.915907826,0.940618937,0.69869001,0.786717425,0.990378293,0.993191625,0.989203813,0.992360556
42,0.938508469,0.956840621,0.693344031,0.782628234,0.990379011,0.993192496,0.990701261,0.993423573
43,0.937225712,0.956033676,0.700061307,0.787764495,0.990333301,0.99315988,0.990429354,0.99323073
44,0.937587944,0.956203008,0.693599077,0.782823582,0.990061531,0.992967202,0.990747262,0.993456542
45,0.942718817,0.959801986,0.698740823,0.786756238,0.990151881,0.993031136,0.986025597,0.990103449
46,0.938138304,0.95648612,0.693599077,0.782823582,0.990197604,0.993063769,0.987844564,0.99139668
47,0.93668997,0.955437733,0.699807468,0.78757073,0.990515048,0.99328902,0.986980417,0.99078223
48,0.938939427,0.956935371,0.694799832,0.783732641,0.990560039,0.993320763,0.98447695,0.989001122
49,0.932027646,0.952066954,0.70140897,0.788782778,0.990696754,0.99341811,0.983930268,0.98861194
50,0.937217739,0.95564683,0.694799832,0.783732641,0.990742433,0.993450688,0.983933269,0.988615592
51,0.926865816,0.948272559,0.703942427,0.79071399,0.990651767,0.99338637,0.98361493,0.988389249
52,0.937668289,0.955942362,0.69546219,0.784239549,0.990923745,0.9935793,0.982471249,0.987572653
53,0.924801615,0.946727354,0.703085538,0.790244524,0.990695714,0.993416848,0.983794164,0.988515334
54,0.922236598,0.944825146,0.705929747,0.790921729,0.990695714,0.993416848,0.990792226,0.993488253
55,0.927045117,0.948284164,0.716595882,0.799075174,0.990695714,0.993416848,0.989659006,0.992684407
56,0.935879956,0.954708934,0.717902874,0.798615872,0.990695714,0.993416848,0.990882498,0.993552094
57,0.93280692,0.952601523,0.729847146,0.807762084,0.990560039,0.993320763,0.990882498,0.993552094
58,0.941925467,0.959139921,0.717902874,0.798615872,0.990650722,0.993385102,0.990882498,0.993552094
59,0.945864552,0.961887019,0.728986633,0.807105118,0.990650722,0.993385102,0.990565315,0.993327161
60,0.945465938,0.961608891,0.717902874,0.798615872,0.990695714,0.993416848,0.989069315,0.9922659
61,0.946241062,0.96222739,0.730181343,0.808078193,0.990651419,0.993385948,0.990882498,0.993552094
62,0.963202597,0.974016474,0.718959357,0.799491476,0.990695714,0.993416848,0.990837191,0.993519967
63,0.969537378,0.97843614,0.733262429,0.810426693,0.990743124,0.993451525,0.988796635,0.992072118
64,0.973012605,0.980916518,0.743577884,0.815252202,0.990650722,0.993385102,0.98707083,0.990846242
65,0.973445105,0.981212857,0.757686276,0.826099891,0.990695714,0.993416848,0.989567914,0.992619573
66,0.971229283,0.979689139,0.743577884,0.815252202,0.990560039,0.993320763,0.984705233,0.989163888
67,0.969870707,0.978726111,0.757027473,0.825595238,0.990559687,0.993320336,0.987025381,0.990813942
68,0.976454721,0.983356715,0.743577884,0.815252202,0.990650722,0.993385102,0.986934478,0.990749336
69,0.965849209,0.975924987,0.757179534,0.825711735,0.9898797,0.992837959,0.98506947,0.989423077
70,0.97797356,0.98442288,0.834653637,0.88162997,0.990561446,0.99332247,0.985159958,0.989487179
71,0.974747725,0.98213087,0.878376907,0.912254869,0.990650373,0.993384679,0.987161244,0.990910255
72,0.977382998,0.984003321,0.882479226,0.915424541,0.990560039,0.993320763,0.988660053,0.991974934
73,0.976076059,0.983080066,0.883139253,0.915881628,0.990561446,0.99332247,0.983793559,0.988514597
74,0.980955384,0.986533061,0.883239551,0.915908409,0.990380804,0.993194671,0.98802442,0.991523526
75,0.982683203,0.987761346,0.884914602,0.917069915,0.990515755,0.993289877,0.988843682,0.992106356
76,0.982171554,0.987391873,0.886979733,0.918647227,0.990335463,0.993162502,0.9899307,0.992876992
77,0.98358023,0.988392857,0.889433498,0.920513757,0.990605381,0.993352934,0.986889024,0.990717029
78,0.983534814,0.988360598,0.898204904,0.927063782,0.990605731,0.993353358,0.985436861,0.989686099
79,0.989193336,0.992347837,0.898706437,0.927396764,0.990696408,0.993417689,0.985482359,0.989718459
80,0.988511878,0.991863668,0.905292482,0.932243987,0.990697448,0.993418951,0.985209345,0.989524267
81,0.987466234,0.991120372,0.905275023,0.932294395,0.990696754,0.99341811,0.985299259,0.989587672
82,0.988966226,0.992186499,0.904484359,0.931699004,0.990561094,0.993322044,0.983340865,0.988193776
83,0.989193336,0.992347837,0.903658821,0.931156338,0.990743124,0.993451525,0.985344766,0.989620042
84,0.989329582,0.992444615,0.901813593,0.929878447,0.990469704,0.993256847,0.98698236,0.99078459
85,0.989329582,0.992444615,0.901377899,0.929673764,0.990516109,0.993290306,0.985390816,0.989653074
86,0.989193336,0.992347837,0.901090935,0.929603941,0.990470059,0.993257278,0.984844665,0.989264541
87,0.989284568,0.992412844,0.898952618,0.928129955,0.990606782,0.993354633,0.985709291,0.98987958
88,0.989239155,0.992380587,0.899458366,0.928539123,0.990560742,0.993321617,0.985345313,0.989620707
89,0.989465813,0.992541375,0.897999545,0.927569868,0.99047077,0.99325814,0.9856638,0.989847228
90,0.989602028,0.992638115,0.895729378,0.925980803,0.990742433,0.993450688,0.98457265,0.989071564
91,0.989470135,0.992546624,0.900017926,0.928990648,0.990742433,0.993450688,0.984481588,0.989006763
92,0.987570193,0.991200845,0.88677323,0.919913143,0.990742433,0.993450688,0.984299442,0.988877136
93,0.99001617,0.992935008,0.890091805,0.922180608,0.990742433,0.993450688,0.985710358,0.989880876
94,0.989881586,0.992840248,0.893766258,0.924696668,0.990697448,0.993418951,0.985574428,0.989784481
95,0.98627145,0.99028754,0.890480312,0.922446366,0.990652813,0.993387638,0.985483443,0.989719776
96,0.990383672,0.993198148,0.880678168,0.915760697,0.990742433,0.993450688,0.986120191,0.990172541
97,0.988115245,0.991588038,0.903765675,0.931454362,0.990788107,0.993483261,0.985710891,0.989881524
98,0.989077459,0.992275774,0.902730477,0.930794391,0.990788451,0.993483677,0.988663858,0.991979549
99,0.988762146,0.992053107,0.888174779,0.921706078,0.990833093,0.993514999,0.98798304,0.991496164
100,0.990386896,0.993202055,0.899965865,0.929112138,0.990743124,0.993451525,0.99138333,0.993908468
101,0.988233712,0.991686045,0.887689293,0.920635932,0.990787077,0.993482012,0.989162883,0.992333738
102,0.986210943,0.99025974,0.900893498,0.930672138,0.990787077,0.993482012,0.988890713,0.992140575
103,0.990112421,0.9930061,0.90729498,0.934822974,0.990786734,0.993481595,0.988300802,0.991721801
104,0.989656307,0.992681134,0.897171707,0.927366478,0.990742778,0.993451107,0.988936079,0.992172774
105,0.988747054,0.992034804,0.912986116,0.938805077,0.990787077,0.993482012,0.989434992,0.992526827
106,0.990019892,0.992939523,0.906947992,0.934316311,0.990787077,0.993482012,0.989026806,0.992237166
107,0.989930325,0.992876537,0.91960838,0.942774698,0.990788451,0.993483677,0.988845345,0.992108374
108,0.989886865,0.99284665,0.916749505,0.940792028,0.990743124,0.993451525,0.988436961,0.991818472
109,0.989116309,0.992300073,0.926492154,0.948514049,0.990743124,0.993451525,0.988890713,0.992140575
110,0.988749572,0.99203786,0.914888438,0.939884798,0.990787077,0.993482012,0.989480338,0.992559001
111,0.989886865,0.99284665,0.925061894,0.94690606,0.990787764,0.993482845,0.989525682,0.992591173
112,0.990931857,0.99358913,0.917979153,0.942013269,0.990787764,0.993482845,0.989933701,0.992880631
113,0.989888749,0.992848934,0.945855281,0.961942505,0.990787764,0.993482845,0.990114999,0.993009225
114,0.990382596,0.993196844,0.961800178,0.97311285,0.99087944,0.993548387,0.991835984,0.994229236
115,0.989207032,0.992364461,0.954010987,0.967658636,0.99087944,0.993548387,0.99188124,0.994261302
116,0.987702809,0.991293214,0.959723076,0.971598834,0.990562853,0.993324177,0.991111656,0.993715908
117,0.986750674,0.990617695,0.958825448,0.970944079,0.990652813,0.993387638,0.991835984,0.994229236
118,0.985591101,0.989804724,0.951466053,0.965693151,0.990698141,0.993419792,0.99233371,0.994581846
119,0.988526442,0.991881353,0.951011346,0.965369898,0.990788794,0.993484094,0.99233371,0.994581846
120,0.983418663,0.988265388,0.954508069,0.967807935,0.990788794,0.993484094,0.992378947,0.994613889
121,0.989294956,0.992425453,0.961684407,0.972905697,0.990652116,0.993386793,0.992378947,0.994613889
122,0.990157019,0.993037368,0.964450142,0.974822218,0.990788794,0.993484094,0.992424183,0.99464593
123,0.989387272,0.992491773,0.964265224,0.974689222,0.990652813,0.993387638,0.992378947,0.994613889
124,0.990204543,0.993072183,0.959609903,0.971393792,0.990562853,0.993324177,0.992378947,0.994613889
125,0.990793598,0.993489916,0.95957237,0.971439488,0.990652813,0.993387638,0.992378947,0.994613889
126,0.990793598,0.993489916,0.955562065,0.96851555,0.990788794,0.993484094,0.992378947,0.994613889
127,0.991200254,0.993777721,0.962519994,0.973462659,0.990788794,0.993484094,0.992378947,0.994613889
128,0.989433023,0.992524439,0.971390815,0.979725395,0.990788794,0.993484094,0.992378947,0.994613889
129,0.990202353,0.993069528,0.970474429,0.979070365,0.9908791,0.993547975,0.992378947,0.994613889
130,0.98795022,0.991479177,0.970560979,0.979152656,0.9908791,0.993547975,0.992378947,0.994613889
131,0.986232705,0.990263368,0.975921351,0.982960903,0.9908791,0.993547975,0.992378947,0.994613889
132,0.979169076,0.985233693,0.976459071,0.983339196,0.991106688,0.993709889,0.992016702,0.994357127
133,0.987983488,0.991496707,0.977460687,0.984051903,0.991149358,0.993738819,0.992378664,0.994613546
134,0.988216173,0.991664804,0.974795656,0.982188944,0.991149358,0.993738819,0.99233371,0.994581846
135,0.986052151,0.990135674,0.974653316,0.982084794,0.991103704,0.993706271,0.992424183,0.99464593
136,0.990126771,0.993023478,0.976490636,0.983377469,0.991149358,0.993738819,0.992378947,0.994613889
137,0.990744158,0.99345278,0.982833601,0.987829549,0.991195335,0.993771759,0.992378947,0.994613889
138,0.989530364,0.992596847,0.98401901,0.988673918,0.991195335,0.993771759,0.992378947,0.994613889
139,0.99008261,0.992992738,0.985279473,0.989563598,0.991150018,0.993739619,0.992424183,0.99464593
140,0.988774273,0.99206779,0.984835605,0.989253521,0.991195335,0.993771759,0.992378947,0.994613889
141,0.989224304,0.992385382,0.979272083,0.985335932,0.991195335,0.993771759,0.992423901,0.994645589
142,0.990257489,0.993113562,0.986142389,0.990176565,0.991286289,0.993836426,0.992423901,0.994645589
143,0.989721978,0.992737928,0.987689946,0.991277578,0.991286289,0.993836426,0.992378947,0.994613889
144,0.988861953,0.992128494,0.988190206,0.991633275,0.991331922,0.993868949,0.992378947,0.994613889
145,0.988813737,0.992092845,0.988872047,0.992117911,0.991422214,0.993932814,0.992378947,0.994613889
146,0.988138694,0.991616461,0.989371821,0.992473015,0.991422214,0.993932814,0.992378947,0.994613889
147,0.987241443,0.990984677,0.987962391,0.991471079,0.99146752,0.993964939,0.992378947,0.994613889
148,0.987062073,0.990858417,0.98941685,0.992504805,0.991512823,0.993997062,0.99233371,0.994581846
149,0.986789136,0.99066433,0.989871012,0.99282741,0.991512823,0.993997062,0.99233371,0.994581846
150,0.985806174,0.989974219,0.989871012,0.99282741,0.991422214,0.993932814,0.992378947,0.994613889
151,0.984282911,0.988902668,0.989507695,0.992569342,0.991422214,0.993932814,0.992378947,0.994613889
152,0.986702919,0.990605395,0.986929601,0.99074341,0.99146752,0.993964939,0.992378947,0.994613889
153,0.984058627,0.988744754,0.987795507,0.99136,0.991241956,0.993805479,0.992378947,0.994613889
154,0.986118753,0.990193581,0.989326395,0.992440743,0.991422214,0.993932814,0.992378947,0.994613889
155,0.986613267,0.990542305,0.989916042,0.992859201,0.991512823,0.993997062,0.992378947,0.994613889
156,0.984866955,0.989314337,0.989416059,0.992503844,0.991422214,0.993932814,0.992333995,0.994582191
157,0.984151048,0.988811189,0.989461487,0.992536118,0.991512823,0.993997062,0.992378947,0.994613889
158,0.982719225,0.987804878,0.9893252,0.99243929,0.991558125,0.994029184,0.992378947,0.994613889
159,0.982585189,0.987710775,0.989779811,0.992762442,0.991512823,0.993997062,0.992378947,0.994613889
160,0.982585836,0.987711555,0.986991096,0.990795193,0.991512823,0.993997062,0.992243518,0.994518103
161,0.985896294,0.990037875,0.987889977,0.991428937,0.991332568,0.993869732,0.992243518,0.994518103
162,0.985358844,0.98965989,0.989779811,0.992762442,0.991422214,0.993932814,0.99233371,0.994581846
163,0.985091872,0.989473015,0.989779811,0.992762442,0.991422214,0.993932814,0.99228847,0.994549801
164,0.985673393,0.989881634,0.989825223,0.992794697,0.99146752,0.993964939,0.99228847,0.994549801
165,0.986841815,0.990705373,0.989825223,0.992794697,0.99146752,0.993964939,0.99228847,0.994549801
166,0.984285832,0.988906195,0.989825223,0.992794697,0.991422214,0.993932814,0.99228847,0.994549801
167,0.988184014,0.991648604,0.989825223,0.992794697,0.991422214,0.993932814,0.99228847,0.994549801
168,0.988725624,0.992031619,0.989734398,0.992730184,0.991422214,0.993932814,0.992243518,0.994518103
169,0.984648324,0.98916325,0.989779811,0.992762442,0.991422214,0.993932814,0.99228847,0.994549801
170,0.986482825,0.990452549,0.989779811,0.992762442,0.991422214,0.993932814,0.992333424,0.994581501
171,0.986837409,0.990700045,0.989825223,0.992794697,0.991467838,0.993965325,0.99228847,0.994549801
172,0.98751473,0.991179187,0.989825223,0.992794697,0.991376907,0.993900687,0.99228847,0.994549801
173,0.986481317,0.990450726,0.989825223,0.992794697,0.99146752,0.993964939,0.992333424,0.994581501
174,0.985989019,0.99010468,0.989825223,0.992794697,0.991376907,0.993900687,0.992333424,0.994581501
175,0.985989019,0.99010468,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
176,0.987149364,0.99091865,0.989916042,0.992859201,0.99146752,0.993964939,0.99228847,0.994549801
177,0.987737131,0.99133482,0.989916042,0.992859201,0.99146752,0.993964939,0.99233371,0.994581846
178,0.988230647,0.991682335,0.989916042,0.992859201,0.99146752,0.993964939,0.99233371,0.994581846
179,0.98894926,0.992188745,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
180,0.988861953,0.992128494,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
181,0.9904347,0.993237208,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
182,0.990884196,0.993554152,0.989916042,0.992859201,0.991422214,0.993932814,0.99228847,0.994549801
183,0.991153315,0.993743616,0.989916042,0.992859201,0.991422214,0.993932814,0.99228847,0.994549801
184,0.990701261,0.993423573,0.989916042,0.992859201,0.991331599,0.993868557,0.99228847,0.994549801
185,0.988818316,0.992098388,0.989916042,0.992859201,0.991331599,0.993868557,0.99228847,0.994549801
186,0.988593516,0.991939852,0.989916042,0.992859201,0.991376907,0.993900687,0.99228847,0.994549801
187,0.982355276,0.987546067,0.989916042,0.992859201,0.991422214,0.993932814,0.992333424,0.994581501
188,0.981695398,0.987087973,0.989916042,0.992859201,0.991332245,0.99386934,0.99228847,0.994549801
189,0.988231961,0.991683925,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
190,0.988408863,0.991807198,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
191,0.988321268,0.991746598,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
192,0.98831692,0.991741335,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
193,0.986884194,0.99073396,0.989916042,0.992859201,0.991332568,0.993869732,0.992243518,0.994518103
194,0.984060997,0.988747616,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
195,0.985274768,0.989603535,0.989916042,0.992859201,0.991332245,0.99386934,0.99228847,0.994549801
196,0.986846707,0.990711286,0.989916042,0.992859201,0.99137755,0.993901466,0.992243518,0.994518103
197,0.989626802,0.992668154,0.989916042,0.992859201,0.991332245,0.99386934,0.992333424,0.994581501
198,0.985368637,0.98967172,0.989916042,0.992859201,0.991332245,0.99386934,0.992243518,0.994518103
199,0.988239839,0.991693453,0.989916042,0.992859201,0.99137755,0.993901466,0.99228847,0.994549801
200,0.989540883,0.992609582,0.989916042,0.992859201,0.991332245,0.99386934,0.99228847,0.994549801